code	term	range	group
8313/1	Clear cell borderline tumor	814-838	Adenomas and adenocarcinomas
8313/3	Clear cell adenocarcinofibroma	814-838	Adenomas and adenocarcinomas
8314/3	Lipid-rich carcinoma	814-838	Adenomas and adenocarcinomas
8315/3	Glycogen-rich carcinoma	814-838	Adenomas and adenocarcinomas
8316/1	Multilocular cystic renal neoplasm of low malignant potential 	814-838	Adenomas and adenocarcinomas
8316/3	Cyst-associated renal cell carcinoma	814-838	Adenomas and adenocarcinomas
8317/3	Renal cell carcinoma, chromophobe type	814-838	Adenomas and adenocarcinomas
8318/3	Renal cell carcinoma, sarcomatoid	814-838	Adenomas and adenocarcinomas
8319/3	Collecting duct carcinoma	814-838	Adenomas and adenocarcinomas
8320/3	Granular cell carcinoma	814-838	Adenomas and adenocarcinomas
8321/0	Chief cell adenoma	814-838	Adenomas and adenocarcinomas
8322/0	Water-clear cell adenoma	814-838	Adenomas and adenocarcinomas
8322/3	Water-clear cell adenocarcinoma	814-838	Adenomas and adenocarcinomas
8323/0	Mixed cell adenoma	814-838	Adenomas and adenocarcinomas
8323/1	Clear cell papillary renal cell carcinoma	814-838	Adenomas and adenocarcinomas
8323/3	Mixed cell adenocarcinoma	814-838	Adenomas and adenocarcinomas
8324/0	Lipoadenoma	814-838	Adenomas and adenocarcinomas
8325/0	Metanephric adenoma	814-838	Adenomas and adenocarcinomas
8330/0	Follicular adenoma, NOS	814-838	Adenomas and adenocarcinomas
8330/1	Atypical follicular adenoma	814-838	Adenomas and adenocarcinomas
8330/3	Follicular carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8331/3	Follicular adenocarcinoma, well differentiated	814-838	Adenomas and adenocarcinomas
8332/3	Follicular adenocarcinoma, trabecular	814-838	Adenomas and adenocarcinomas
8333/0	Microfollicular adenoma, NOS	814-838	Adenomas and adenocarcinomas
8333/3	Fetal adenocarcinoma	814-838	Adenomas and adenocarcinomas
8334/0	Macrofollicular adenoma	814-838	Adenomas and adenocarcinomas
8335/1	Follicular tumor of uncertain malignant potential	814-838	Adenomas and adenocarcinomas
8335/3	Follicular carcinoma, minimally invasive	814-838	Adenomas and adenocarcinomas
8336/1	Hyalinizing trabecular tumor	814-838	Adenomas and adenocarcinomas
8337/3	Poorly differentiated thyroid carcinoma	814-838	Adenomas and adenocarcinomas
8339/3	Follicular carcinoma, encapsulated, angioinvasive	814-838	Adenomas and adenocarcinomas
8340/3	Papillary carcinoma, follicular variant	814-838	Adenomas and adenocarcinomas
8341/3	Papillary microcarcinoma	814-838	Adenomas and adenocarcinomas
8342/3	Papillary carcinoma, oncocytic variant	814-838	Adenomas and adenocarcinomas
8343/3	Papillary carcinoma, encapsulated of thyroid	814-838	Adenomas and adenocarcinomas
8344/3	Papillary carcinoma, columnar cell	814-838	Adenomas and adenocarcinomas
8345/3	Medullary thyroid carcinoma	814-838	Adenomas and adenocarcinomas
8346/3	Mixed medullary-follicular carcinoma	814-838	Adenomas and adenocarcinomas
8347/3	Mixed medullary-papillary carcinoma	814-838	Adenomas and adenocarcinomas
8348/1	Well differentiated tumor of uncertain malignant potential	814-838	Adenomas and adenocarcinomas
8349/1	Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP)	814-838	Adenomas and adenocarcinomas
8350/3	Nonencapsulated sclerosing carcinoma	814-838	Adenomas and adenocarcinomas
8360/1	Multiple endocrine adenomas	814-838	Adenomas and adenocarcinomas
8361/0	Juxtaglomerular tumor	814-838	Adenomas and adenocarcinomas
8370/0	Adrenal cortical adenoma, NOS	814-838	Adenomas and adenocarcinomas
8370/3	Adrenal cortical carcinoma	814-838	Adenomas and adenocarcinomas
8371/0	Adrenal cortical adenoma, compact cell	814-838	Adenomas and adenocarcinomas
8372/0	Adrenal cortical adenoma, pigmented	814-838	Adenomas and adenocarcinomas
8373/0	Adrenal cortical adenoma, clear cell	814-838	Adenomas and adenocarcinomas
8374/0	Adrenal cortical adenoma, glomerulosa cell	814-838	Adenomas and adenocarcinomas
